자치구별,2019,,2020,,2021,,2022,,2023,
,범죄율(%),검거율(%),범죄율(%),검거율(%),범죄율(%),검거율(%),범죄율(%),검거율(%),범죄율(%),검거율(%)
종로구,2.54,107.05,2.08,107.77,1.87,101.59,2.22,104.65,2.14,116.91
중구,3.43,64.80,2.72,68.10,2.34,72.42,2.55,69.00,2.76,73.63
용산구,1.45,78.81,1.29,69.25,1.07,69.68,1.36,70.54,1.42,75.07
성동구,0.83,73.17,0.80,75.11,0.74,71.50,0.78,72.79,0.73,69.75
광진구,1.14,70.21,1.04,69.73,0.91,71.33,1.07,69.02,1.02,68.14
동대문구,1.07,76.33,0.99,72.48,0.88,71.41,0.97,68.58,0.87,77.82
중랑구,1.08,73.52,0.94,74.64,0.83,74.92,0.93,74.22,0.87,74.43
성북구,0.65,80.74,0.59,75.85,0.56,74.12,0.64,77.30,0.57,81.21
강북구,1.22,78.76,0.90,81.55,0.77,83.09,0.96,82.73,0.87,85.78
도봉구,0.63,70.95,0.67,68.38,0.59,69.57,0.69,73.28,0.63,73.19
노원구,0.78,71.37,0.72,68.96,0.67,67.21,0.77,67.79,0.72,73.09
은평구,0.81,77.32,0.71,74.66,0.69,74.69,0.75,76.23,0.75,76.67
서대문구,0.95,68.64,0.81,67.35,0.75,69.97,0.77,67.61,0.78,68.81
마포구,1.29,65.47,0.99,68.71,0.96,67.20,1.12,68.70,1.05,75.33
양천구,0.70,66.09,0.71,64.86,0.67,69.15,0.72,67.21,0.69,70.72
강서구,0.83,71.95,0.76,76.85,0.68,78.13,0.82,77.01,0.76,82.50
구로구,1.16,69.92,1.03,71.47,0.88,69.74,0.98,70.83,0.95,70.43
금천구,1.33,75.46,1.12,75.67,1.06,71.38,1.12,73.22,0.98,78.26
영등포구,1.58,65.07,1.37,64.62,1.11,66.45,1.28,66.11,1.18,76.66
동작구,0.86,64.56,0.82,65.19,0.68,69.52,0.72,63.66,0.70,66.73
관악구,1.07,71.51,1.06,73.33,0.91,70.52,1.00,69.91,0.99,73.31
서초구,1.29,67.67,1.08,66.33,0.89,66.71,1.10,69.48,1.11,67.43
강남구,1.34,69.40,1.36,71.30,1.15,71.54,1.31,72.26,1.24,73.81
송파구,0.84,66.67,0.81,65.51,0.72,69.28,0.78,65.98,0.80,67.39
강동구,0.92,73.62,0.82,70.27,0.75,71.20,0.81,71.25,0.74,73.43
